3052,TM52,TS52,,,,,,,TH,837380.343,834155.283,22.4468330,114.1876670,Open marine water,"1976-10-12 00:00:00",N,N,2,1,221,271,221,EWP5,"2004-05-14 00:00:00",1,837380.343,834155.283
3053,TM53,TS53,,,,,,,TH,840314.102,834063.447,22.4460000,114.2161670,Open marine water,"1976-10-12 00:00:00",N,N,2,1,222,272,222,EWP5,"2004-05-14 00:00:00",1,840314.102,834063.447
3054,TM54,,,,,,,,TH,846215.070,835413.312,22.4581670,114.2735000,Open marine water,"1982-04-26 00:00:00",N,N,2,1,223,,223,EWP5,"2004-05-14 00:00:00",1,846215.070,835413.312
3055,TM55,,,,,,,,TH,850758.283,838609.719,22.4870000,114.3176670,Open marine water,"1982-04-26 00:00:00",N,N,2,1,224,,224,EWP5,"2004-05-14 00:00:00",1,850758.283,838609.719
3056,TM56,,,,,,,,TH,846439.819,832737.238,22.4340000,114.2756670,Open marine water,"1982-04-26 00:00:00",N,N,2,1,225,,225,EWP5,"2004-05-14 00:00:00",1,846439.819,832737.238
3057,TM57,,,,,,,,TH,853764.213,834607.656,22.4508330,114.3468330,Open marine water,"1982-05-05 00:00:00",N,N,2,1,226,,226,EWP5,"2004-05-14 00:00:00",1,853764.213,834607.656
3099,VB,,,,,,,,TH,842819.193,833362.932,22.4396670,114.2405000,Open marine water,"1990-01-03 00:00:00",N,N,2,1,158,,158,EWP5,"2004-05-14 00:00:00",1,842819.193,833362.932
3101,SM1,SS1,,,SS1,,,14,S2c,841891.466,808185.445,22.2123000,114.2314170,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,45,310,45,EWP5,"2004-05-14 00:00:00",1,841892.622,808184.733
3102,SM2,SS2,,,SS2,,,14,S2c,836402.684,809492.928,22.2241170,114.1781830,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,46,311,46,EWP5,"2004-05-14 00:00:00",1,836403.615,809492.428
3103,SM3,,,,,SM3,,33,Som,833462.667,809640.822,22.2254500,114.1496670,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,47,,47,EWP5,"2004-05-14 00:00:00",1,833463.571,809640.370
3104,SM4,,,,,,,11,Som,832319.637,808221.837,22.2126330,114.1385830,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,48,,48,EWP5,"2004-05-14 00:00:00",1,832320.391,808221.355
3105,SM5,,,,,,,8,Som,829591.953,807084.057,22.2023500,114.1121330,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,49,,49,EWP5,"2004-05-14 00:00:00",1,829592.576,807083.668
3106,SM6,SS3,,,,,,14,Som,826179.786,805902.886,22.1916670,114.0790500,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,50,257,50,EWP5,"2004-05-14 00:00:00",1,826180.284,805902.609
3107,SM7,SS4,,,SS4,,,8,Som,825718.519,810037.233,22.2290000,114.0745500,Open marine water,"1974-11-26 00:00:00",Y,Y,3,2,51,258,51,EWP5,"2004-05-14 00:00:00",1,825719.131,810037.003
3108,SM8,,,,,,,,Som,822172.596,808286.623,22.2131670,114.0401670,Open marine water,"1975-01-20 00:00:00",N,N,2,2,52,,52,EWP5,"2004-05-14 00:00:00",1,822172.596,808286.623
3109,SM9,,,,,SM9,,8,Som,824950.601,814983.884,22.2736670,114.0670670,Open marine water,"1988-02-11 00:00:00",Y,Y,3,2,53,,53,EWP5,"2004-05-14 00:00:00",1,824951.380,814983.798
3110,SM10,,,,,,,5,S2c,821337.789,818133.632,22.3020830,114.0319830,Open marine water,"1975-01-20 00:00:00",Y,Y,3,2,54,,54,EWP5,"2004-05-14 00:00:00",1,821338.482,818133.627
